127.0.0.1 - - [13/Aug/2012:09:48:35 +0000] "GET /ch/32189/FixedFlumeReportingVoideo HTTP/1.0" 302 - "-" "Mozilla/5.0 (iPhone; U; CPU iPhone OS 3_0 like Mac OS X; en-us) AppleWebKit/528.18 (KHTML, like Gecko) Version/4.0 Mobile/7A341 Safari/528.16"
127.0.0.1 - - [13/Aug/2012:09:48:36 +0000] "GET /sites/default/files/video/32189/iphone_m3u8_profile/Simple_mpg.m3u8 HTTP/1.0" 200 458 "-" "Mozilla/5.0 (iPhone; U; CPU iPhone OS 3_0 like Mac OS X; en-us) AppleWebKit/528.18 (KHTML, like Gecko) Version/4.0 Mobile/7A341 Safari/528.16"
127.0.0.1 - - [13/Aug/2012:09:48:36 +0000] "GET /ch/32189/FixedFlumeReportingVoideo HTTP/1.0" 302 - "-" "BlackBerry9530/4.7.0.167 Profile/MIDP-2.0 Configuration/CLDC-1.1 VendorID/102 UP.Link/6.3.1.20.0"
127.0.0.1 - - [13/Aug/2012:09:48:36 +0000] "GET /ch/32189/FixedFlumeReportingVoideo HTTP/1.0" 302 - "-" "Mozilla/5.0 (BlackBerry; U; BlackBerry 9800; en) AppleWebKit/534.1+ (KHTML, Like Gecko) Version/6.0.0.141 Mobile Safari/534.1"
127.0.0.1 - - [13/Aug/2012:09:48:38 +0000] "GET /sites/all/themes/adserver/images/icon_watermark.png HTTP/1.0" 200 3104 "http://meds.stage.mblgrt.com/sites/default/files/css/css_5f0a294601c28abf1989e1701009227f.css" "Mozilla/5.0 (X11; Ubuntu; Linux i686; rv:14.0) Gecko/20100101 Firefox/14.0.1"
127.0.0.1 - - [13/Aug/2012:09:48:38 +0000] "GET /sites/all/themes/adserver/images/icon_manage.png HTTP/1.0" 200 202 "http://meds.stage.mblgrt.com/sites/default/files/css/css_5f0a294601c28abf1989e1701009227f.css" "Mozilla/5.0 (X11; Ubuntu; Linux i686; rv:14.0) Gecko/20100101 Firefox/14.0.1"
127.0.0.1 - - [13/Aug/2012:09:48:38 +0000] "GET /sites/all/themes/adserver/images/user-menu-gradient.png HTTP/1.0" 200 239 "http://meds.stage.mblgrt.com/sites/default/files/css/css_5f0a294601c28abf1989e1701009227f.css" "Mozilla/5.0 (X11; Ubuntu; Linux i686; rv:14.0) Gecko/20100101 Firefox/14.0.1"
127.0.0.1 - - [13/Aug/2012:09:48:38 +0000] "GET /sites/all/themes/adserver/images/icon_user.png HTTP/1.0" 200 298 "http://meds.stage.mblgrt.com/sites/default/files/css/css_5f0a294601c28abf1989e1701009227f.css" "Mozilla/5.0 (X11; Ubuntu; Linux i686; rv:14.0) Gecko/20100101 Firefox/14.0.1"
127.0.0.1 - - [13/Aug/2012:09:48:38 +0000] "GET /sites/all/themes/adserver/images/icon_stats.png HTTP/1.0" 200 3064 "http://meds.stage.mblgrt.com/sites/default/files/css/css_5f0a294601c28abf1989e1701009227f.css" "Mozilla/5.0 (X11; Ubuntu; Linux i686; rv:14.0) Gecko/20100101 Firefox/14.0.1"
127.0.0.1 - - [13/Aug/2012:09:48:38 +0000] "GET /sites/all/themes/adserver/images/icon_contact.png HTTP/1.0" 200 300 "http://meds.stage.mblgrt.com/sites/default/files/css/css_5f0a294601c28abf1989e1701009227f.css" "Mozilla/5.0 (X11; Ubuntu; Linux i686; rv:14.0) Gecko/20100101 Firefox/14.0.1"
