127.0.0.1 - - [15/Aug/2012:12:33:42 +0000] "GET /ch/32229/ImageCF?p=cf HTTP/1.0" 302 - "-" "Mozilla/4.0 (compatible; MSIE 7.0; Windows Phone OS 7.0; Trident/3.1; IEMobile/7.0; HTC; 7 Mozart)"
127.0.0.1 - - [15/Aug/2012:12:33:44 +0000] "GET /ch/32229/ImageCF?p=cf HTTP/1.0" 200 1197 "-" "Mozilla/5.0 (iPhone; U; CPU iPhone OS 3_0 like Mac OS X; en-us) AppleWebKit/528.18 (KHTML, like Gecko) Version/4.0 Mobile/7A341 Safari/528.16"
127.0.0.1 - - [15/Aug/2012:12:33:45 +0000] "GET /sites/default/files/images/32229/wallpaper_jpg_320x480/320x240_2.jpg HTTP/1.0" 200 24086 "-" "Mozilla/5.0 (iPhone; U; CPU iPhone OS 3_0 like Mac OS X; en-us) AppleWebKit/528.18 (KHTML, like Gecko) Version/4.0 Mobile/7A341 Safari/528.16"
127.0.0.1 - - [15/Aug/2012:12:33:45 +0000] "GET /ch/32229/ImageCF?p=cf HTTP/1.0" 302 - "-" "BlackBerry9530/4.7.0.167 Profile/MIDP-2.0 Configuration/CLDC-1.1 VendorID/102 UP.Link/6.3.1.20.0"
127.0.0.1 - - [15/Aug/2012:12:33:45 +0000] "GET /ch/32229/ImageCF?p=cf HTTP/1.0" 200 1147 "-" "Mozilla/5.0 (BlackBerry; U; BlackBerry 9800; en) AppleWebKit/534.1+ (KHTML, Like Gecko) Version/6.0.0.141 Mobile Safari/534.1"
127.0.0.1 - - [15/Aug/2012:12:33:43 +0000] "GET /node/32235 HTTP/1.0" 200 4686 "http://meds.stage.mblgrt.com/" "Mozilla/5.0 (X11; Ubuntu; Linux i686; rv:10.0.2) Gecko/20100101 Firefox/10.0.2"
127.0.0.1 - - [15/Aug/2012:12:33:46 +0000] "GET /ch/32229/ImageCF?p=cf HTTP/1.0" 302 - "-" "Mozilla/5.0 (SymbianOS/9.2; U; Series60/3.1 NokiaN95/21.0.016; Profile/MIDP-2.0 Configuration/CLD(-1.1) AppleWebKit/413 (KHTML"
127.0.0.1 - - [15/Aug/2012:12:33:44 +0000] "GET /meds-cdn-transcode-update/32221 HTTP/1.0" 200 234 "http://meds.stage.mblgrt.com/node/32221" "Mozilla/5.0 (X11; Ubuntu; Linux i686; rv:10.0.2) Gecko/20100101 Firefox/10.0.2"
127.0.0.1 - - [15/Aug/2012:12:33:46 +0000] "GET /sites/default/files/images/32229/wallpaper_jpg_360x480/320x240_2.jpg HTTP/1.0" 200 42921 "-" "Mozilla/5.0 (BlackBerry; U; BlackBerry 9800; en) AppleWebKit/534.1+ (KHTML, Like Gecko) Version/6.0.0.141 Mobile Safari/534.1"
127.0.0.1 - - [15/Aug/2012:12:33:44 +0000] "GET /meds-cdn-transcode-update/32222 HTTP/1.0" 200 407 "http://meds.stage.mblgrt.com/node/32222" "Mozilla/5.0 (X11; Ubuntu; Linux i686; rv:10.0.2) Gecko/20100101 Firefox/10.0.2"
127.0.0.1 - - [15/Aug/2012:12:33:46 +0000] "GET /ch/32229/ImageCF?p=cf HTTP/1.0" 302 - "-" "SAMSUNG-SGH-A867/A867UCHJ3 SHP/VPP/R5 NetFront/35 SMM-MMS/1.2.0 profile/MIDP-2.0 configuration/CLDC-1.1 UP.Link/6.3.0.0.0"
