127.0.0.1 - - [16/Aug/2012:19:37:05 +0000] "GET /sites/all/themes/adserver/images/topbar-button.png HTTP/1.0" 304 - "http://meds.stage.mblgrt.com/sites/default/files/css/css_5124a1b7402841182cac30d7c408d465.css" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.6; rv:14.0) Gecko/20100101 Firefox/14.0.1"
127.0.0.1 - - [16/Aug/2012:19:37:05 +0000] "GET /sites/all/themes/adserver/images/top-menu-active-gradient.png HTTP/1.0" 304 - "http://meds.stage.mblgrt.com/sites/default/files/css/css_5124a1b7402841182cac30d7c408d465.css" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.6; rv:14.0) Gecko/20100101 Firefox/14.0.1"
127.0.0.1 - - [16/Aug/2012:19:37:05 +0000] "GET /sites/all/themes/adserver/images/topbar_background.png HTTP/1.0" 304 - "http://meds.stage.mblgrt.com/sites/default/files/css/css_5124a1b7402841182cac30d7c408d465.css" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.6; rv:14.0) Gecko/20100101 Firefox/14.0.1"
127.0.0.1 - - [16/Aug/2012:19:37:05 +0000] "GET /sites/all/themes/adserver/images/user-menu.png HTTP/1.0" 304 - "http://meds.stage.mblgrt.com/sites/default/files/css/css_5124a1b7402841182cac30d7c408d465.css" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.6; rv:14.0) Gecko/20100101 Firefox/14.0.1"
127.0.0.1 - - [16/Aug/2012:19:37:05 +0000] "GET /sites/all/themes/adserver/images/icon_help.png HTTP/1.0" 304 - "http://meds.stage.mblgrt.com/sites/default/files/css/css_5124a1b7402841182cac30d7c408d465.css" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.6; rv:14.0) Gecko/20100101 Firefox/14.0.1"
127.0.0.1 - - [16/Aug/2012:19:37:05 +0000] "GET /sites/all/themes/adserver/images/ajax-loader-transparent.gif HTTP/1.0" 304 - "http://meds.stage.mblgrt.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.6; rv:14.0) Gecko/20100101 Firefox/14.0.1"
127.0.0.1 - - [16/Aug/2012:19:37:05 +0000] "GET /sites/all/themes/adserver/images/ajax-loader.gif HTTP/1.0" 304 - "http://meds.stage.mblgrt.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.6; rv:14.0) Gecko/20100101 Firefox/14.0.1"
127.0.0.1 - - [16/Aug/2012:19:37:05 +0000] "GET /sites/all/themes/adserver/images/search-del.png HTTP/1.0" 304 - "http://meds.stage.mblgrt.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.6; rv:14.0) Gecko/20100101 Firefox/14.0.1"
127.0.0.1 - - [16/Aug/2012:19:37:05 +0000] "GET /sites/all/themes/adserver/images/topbar_icon_audio.png HTTP/1.0" 304 - "http://meds.stage.mblgrt.com/sites/default/files/css/css_5124a1b7402841182cac30d7c408d465.css" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.6; rv:14.0) Gecko/20100101 Firefox/14.0.1"
127.0.0.1 - - [16/Aug/2012:19:37:05 +0000] "GET /sites/all/themes/adserver/images/topbar_icon_video.png HTTP/1.0" 304 - "http://meds.stage.mblgrt.com/sites/default/files/css/css_5124a1b7402841182cac30d7c408d465.css" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.6; rv:14.0) Gecko/20100101 Firefox/14.0.1"
